<<<<<<< HEAD
qi,agent,T,K_louv,K_leid,agee_louv,agee_leid,S_louv,S_leid,I_louv,I_leid,E_louv,E_leid
17,greedy,10,5,5,0.6435019635782321,0.6435019635782321,0.8016931216931218,0.8016931216931218,0.33794830431678446,0.33794830431678446,0.9259816207184628,0.9259816207184628
17,random_walk,10,5,5,0.4944092989206414,0.4944092989206414,0.497340490579736,0.4973404905797359,0.27414357456730337,0.27414357456730337,0.9047619047619048,0.9047619047619048
18,bfs,10,6,6,0.6366406282592646,0.6366406282592646,0.7036525783212556,0.7036525783212556,0.45948657962333994,0.45948657962333994,0.8108108108108107,0.8108108108108107
18,greedy,10,6,6,0.6854240899635113,0.6854240899635111,0.8320559693064853,0.8320559693064852,0.4040061573074,0.4040061573074,0.9259816207184628,0.9259816207184628
18,random_walk,10,6,6,0.6581974513873065,0.6581974513873065,0.8338385539463342,0.8338385539463342,0.37533684970340286,0.37533684970340286,0.8582766439909296,0.8582766439909296
19,bfs,10,6,6,0.5378732562473012,0.5378732562473012,0.40142597254329315,0.4014259725432931,0.5136257212431546,0.5136257212431546,0.84,0.84
19,greedy,10,6,6,0.49525953667699685,0.49525953667699685,0.4825072946454173,0.4825072946454173,0.28882446850969856,0.28882446850969856,0.9047619047619049,0.9047619047619049
19,random_walk,10,6,6,0.5114369514597268,0.5114369514597268,0.4825072946454173,0.4825072946454173,0.418715157858015,0.418715157858015,0.7111111111111112,0.7111111111111112
20,bfs,10,9,9,0.7028205779972571,0.7028205779972571,0.6719094196899891,0.6719094196899891,0.6735009430304134,0.6735009430304134,0.7972972972972974,0.7972972972972974
20,greedy,10,9,9,0.5735822720002767,0.5735822720002767,0.6679943213049742,0.6679943213049742,0.29397975273161786,0.29397975273161786,0.9266666666666666,0.9266666666666666
20,random_walk,10,9,9,0.5105769384638098,0.5105769384638098,0.5169051807691254,0.5169051807691254,0.385314137501896,0.385314137501896,0.7036144578313253,0.7036144578313253
21,bfs,10,20,20,0.7931783815542487,0.6119397487061108,0.8530360527391723,0.4537525939819696,0.6561890048514385,0.6561890048514385,0.9036144578313253,0.8412698412698412
21,greedy,10,20,20,0.6950162467973536,0.72932271351276,0.8219737927360551,0.9189831592718917,0.44461716779426597,0.44461716779426597,0.9036144578313253,0.9
21,random_walk,10,20,20,0.5909160548586194,0.5295942131552493,0.5984554509234121,0.4595325824889138,0.41671710074758384,0.41671710074758384,0.8711111111111112,0.8511111111111112
22,bfs,10,8,8,0.5193332529037328,0.5193332529037328,0.5365637760979994,0.5365637760979994,0.307414643761838,0.307414643761838,0.873015873015873,0.873015873015873
22,greedy,10,8,8,0.4843842587060256,0.4843842587060256,0.45494091917622415,0.45494091917622415,0.2896977792375207,0.2896977792375207,0.9047619047619048,0.9047619047619048
22,random_walk,10,8,8,0.19134136329595505,0.19134136329595505,0.0001351643598615917,0.0001351643598615917,0.18996107266435985,0.18996107266435985,0.9594594594594594,0.9594594594594594
23,bfs,10,37,40,0.6660110234263685,0.6665750775145857,0.5033054060494927,0.4974816869643316,0.6598589803919956,0.6598589803919956,0.9841269841269842,1.0
23,greedy,10,37,40,0.865416084614338,0.9056010263272636,0.930617492190366,0.9750697155605131,0.7740330916779594,0.7740330916779594,0.894736842105263,0.9897959183673469
23,random_walk,10,37,40,0.5682264067918432,0.5082975238513033,0.6415975162879303,0.5011340715120906,0.27970118687057255,0.27970118687057255,0.9864864864864864,0.9579150579150579
24,bfs,10,7,7,0.34003293853577665,0.34003293853577665,0.00033479527269074947,0.00033479527269074947,0.7013987525377261,0.7013987525377261,1.0,1.0
24,greedy,10,7,7,0.5807427314307935,0.5807427314307935,0.6885838515180437,0.6885838515180437,0.29308968344307595,0.29308968344307595,0.9266666666666666,0.9266666666666666
24,random_walk,10,7,7,0.4965514632926861,0.4965514632926861,0.41044352253628363,0.41044352253628363,0.434686805587011,0.434686805587011,0.7578947368421053,0.7578947368421053
25,bfs,10,16,17,0.5864435883121992,0.5841207629486277,0.4725945991500314,0.46739082988053027,0.6168134910564611,0.6168134910564611,0.746031746031746,0.746031746031746
25,greedy,10,16,17,0.7574414772210613,0.7941599667175516,0.8319920801066021,0.8986701119995455,0.6275421509471217,0.6275421509471217,0.8331694123432505,0.8813621834275878
25,random_walk,10,16,17,0.5168406526509005,0.5299729134386725,0.3915682453622823,0.43321891546343966,0.46127912262757126,0.46127912262757126,0.8530612244897958,0.8244897959183672
26,bfs,10,24,25,0.8631661830321448,0.8447304890062038,0.8079026421319286,0.8047086084762585,0.8413834256931538,0.8413834256931538,0.9879518072289155,0.9156626506024097
26,greedy,10,24,25,0.782819111320775,0.7825569626503662,0.9414263405751021,0.9407077134727944,0.5079841740694502,0.5079841740694502,0.9777777777777779,0.9777777777777777
26,random_walk,10,24,25,0.5364884356518997,0.5508516432865128,0.38142864495361956,0.3787406984233176,0.5313978197337971,0.5313978197337971,0.8484210526315789,0.9284210526315789
27,bfs,10,17,17,0.6554757009784151,0.6554757009784151,0.42224314588152334,0.42224314588152334,0.7973099943113374,0.7973099943113374,0.9,0.9
27,greedy,10,17,17,0.6146759474412167,0.6146759474412167,0.7709211115676264,0.7709211115676264,0.3080662902061781,0.3080662902061781,0.9104308390022676,0.9104308390022676
27,random_walk,10,17,17,0.24916062748855902,0.24916062748855902,0.00010534771329619829,0.00010534771329619829,0.38025824459263885,0.38025824459263885,0.9473684210526316,0.9473684210526316
28,bfs,10,9,9,0.5985225631153258,0.5985225631153258,0.6022479232879433,0.6022479232879433,0.4370471704397354,0.4370471704397354,0.86,0.86
28,greedy,10,9,9,0.6557442508650189,0.6557442508650189,0.876564391369636,0.876564391369636,0.3056117415043839,0.3056117415043839,0.9354196301564723,0.9354196301564723
28,random_walk,10,9,9,0.4966706814502071,0.4966706814502071,0.3894379198527848,0.38943791985278486,0.3695396854039432,0.3695396854039432,0.9398496240601504,0.9398496240601504
29,bfs,10,9,9,0.7088892669733124,0.7088892669733124,0.631427916798587,0.631427916798587,0.68898333251117,0.68898333251117,0.873015873015873,0.873015873015873
29,greedy,10,9,9,0.48243758560814987,0.48243758560814987,0.44503293161900065,0.44503293161900065,0.2944975012672478,0.2944975012672478,0.9047619047619047,0.9047619047619047
29,random_walk,10,9,9,0.4821480018024997,0.4821480018024997,0.44503293161900065,0.44503293161900065,0.29385132169202277,0.29385132169202277,0.9047619047619047,0.9047619047619047
